reviews,extracted
"We ended up here on a Saturday night after I screwed up and didn't make reservations at one of our usual places. I try and not be that guy to write something off after only visiting once, but I will not be visiting Locale again and figure I would share my experience since it seems that many people have strong positive feelings about this restaurant. The best thing about this place was the decore. I have a feeling that a lot of people enjoy being seen here, rather than eating, as the food and service was definitely subpar when it comes to what you can find in Astoria. First off, the two dishes I wanted (the duck, a special, and the cornish hen, a menu staple) were already no longer available at 8:00pm. - Bottle of champagne took 20 minutes to reach our table, because the 'bar tender was really swamped'. It arrived under chilled. - My fiance's hanger steak arrived cool, the sides of mashed potatoes and broccoli were actually cold. Sauce was served on the steak, when we asked for it off. - Lamb ragu with goat cheese. Where to start. How do you overpower lamb flavor with sauce? Make a awful sauce that stayed with my taste buds for the rest of the night. This was honestly one of the worst dishes I have ever paid for. The staff was apologetic because 'the restaurant was so swamped on a Saturday night'. There were tables open, and we were seated immediately. I shouldn't have to suffer at a restaurant because there are other people eating there. This place is expensive enough and should have their act together. My biggest regret was not calling earlier to make a reservation at Trattoria Vesta, which blows this place out of the water on all accounts."," enjoy I try and not be that guy to write something off after only visiting once, but I will not be visiting Locale again and figure I would share my experience since it seems that many people have strong positive feelings about this restaurant. I have a feeling that a lot of people enjoy being seen here, rather than eating, as the food and service was definitely subpar when it comes to what you can find in Astoria.  Lamb ragu with goat cheese Where to start How do you overpower lamb flavor with sauce Make a awful sauce that stayed with my taste buds for the rest of the night The staff was apologetic because 'the restaurant was so swamped on a Saturday night'. I shouldn't have to suffer at a restaurant because there are other people eating there. This place is expensive enough and should have their act together."
"Solid brunch spot in this area. I didn't have to wait for a table which was awesome, and we grabbed a table by the windows which was nice. They have a bunch of options for eggs Benedict which I really appreciate since they are my absolute favorite brunch dish. I went with the Avocado and Tomatoe Benedict which were good, and I tried the Portobello one which I actually liked better. The hollandaise was a tiny bit too buttery but maybe I'm just being picky.My only complaint would be that the orange juice I ordered was 80% ice and 20% orange juice... not cool! And also for a french place they should have MUCH better coffee.", Solid brunch spot in this area And also for a french place they should have MUCH better coffee.
"SmallCrowd, goodService, niceDesign and aDelicious brunch outdoors with mango drinks.", Delicious
"I truly adore this place. It was our go-to brunch spot when my boyfriend lived nearby, it had just the perfect atmosphere whether you were vaguely hungover or perky and ready to tackle the day. Plus, their eggs benedict (in varying flavors/styles) are always spot freakin' on. Then about a year ago we went for dinner and now I'm even more hooked. They really know how to make good, flawless food. The seating is a bit weird (big deep benches in some areas) so for short people like me it can be a bit awkward, but the food is so tasty I don't really care. Also their mimosa selection is nice. Oh and their cheese polenta - order it. Die. Go to heaven immediately."," The seating is a bit weird (big deep benches in some areas) so for short people like me it can be a bit awkward, but the food is so tasty I don't really care. Also their mimosa selection is nice. Go to heaven immediately"
"Yes, it's true: I really like this place. No, it's not grimy and no, it's not that cheap. But still, it's one of the cooler, more hip spots in the area (especially during the summer) and the food is great.During the warmer months they take down the walls and completely open up the front, which is a nice touch. The service is tops and the staff always knows how to bump the tunes (ex: an entire Scissor Sisters album). Both brunch and dinner are excellent, but I prefer brunch. The portions are large and the menu is always changing, so make sure you ask about the specials. They have a unique selection of cocktails, but they come at a high price. There's no beer on tap, which is a bummer, but you can't go wrong with icy cold tap water.Note: restaurant.com offers discounted dinner gift certificates but they do not work! I've spoke to the manager about this, who is trying to get the deal removed from the site."," No, it's not grimy and no, it's not that cheap. But still, it's one of the cooler, more hip spots in the area (especially during the summer) and the food is great.During the warmer months they take down the walls and completely open up the front, which is a nice touch. Both brunch and dinner are excellent, but I prefer brunch. The portions are large and the menu is always changing, so make sure you ask about the specials. There's no beer on tap, which is a bummer, but you can't go wrong with icy cold tap water.Note: restaurant.com offers discounted dinner gift certificates but they do not work!"
"The gist: Waited nearly an hour for three appetizers while restaurant was half-empty. Others seated after our arrival served before us. Prejudice or ineptitude?  My fiancé, his family and I stopped by this evening for dinner as it was one of the few local restaurants open on July 4th and seemed to have a charming ambiance. Evidently appearances aren't everything. We were seated quickly enough and our waitress seemed friendly, but we were left waiting nearly 45 minutes for the first order placed from our table: a glass of Coke. (Oddly enough, the two glasses of wine we ordered at around the same time appeared a mere five minutes after placing the initial order. I'm at a loss to explain how pouring Coke into a glass is somehow more complex and time-consuming than pouring wine into two glasses.) We ordered three simple appetizers that would be considered standard fare for even the no-frillsiest of dive bars--specifically, meatballs, calamari and a small Caesar salad. After waiting forty-five minutes for these orders and the Coke, my fiancé finally went into the restaurant to inquire, and was told the drink would be coming out shortly, and the appetizers in another ten minutes at most. Though again I'd be hard pressed to explain how the preparation of three appetizers could possibly require the better part of an hour, especially when the establishment is nowhere near full capacity, this element of our experience alone isn't what prompted this negative review. It's the fact that when we arrived at around 7:45 p.m., we were the only ones seated outside (at our request, so as to enjoy the weather). Two other parties--both couples on dates, it seemed--arrived between 7:45 and 8:30 (when our first order came) and were sat outside as well. As we fruitlessly awaited our appetizers, we were astonished to see that both these tables received both their drinks and food before we did, despite both arriving and placing their orders significantly later. I will also note that we were the only minorities at the establishment--make of that what you will. I hesitate to ascribe anything to bald-faced bigotry, especially in a neighborhood as diverse as Astoria, but it was either that or sheer incompetence at the root of our experience. Either way, I'm not coming back. P.S. Those long-awaited appetizers were mediocre."," enjoy Prejudice or ineptitude My fiancé, his family and I stopped by this evening for dinner as it was one of the few local restaurants open on July 4th and seemed to have a charming ambiance. (Oddly enough, the two glasses of wine we ordered at around the same time appeared a mere five minutes after placing the initial order. After waiting forty-five minutes for these orders and the Coke, my fiancé finally went into the restaurant to inquire, and was told the drink would be coming out shortly, and the appetizers in another ten minutes at most. Though again I'd be hard pressed to explain how the preparation of three appetizers could possibly require the better part of an hour, especially when the establishment is nowhere near full capacity, this element of our experience alone isn't what prompted this negative review. I will also note that we were the only minorities at the establishment--make of that what you will. Those long-awaited appetizers were mediocre."
"The food is delicious, the service is professional and attentive, and the space is beautiful. My friends and I stumbled upon this place after finding the crepe place we had intended to go for brunch on Sunday was closed. We were so pleased with this place, despite being full from Nutella stuffed Texas toast and the best cheddar cheese omelette I ever had, we still ordered dessert. I also had the hot chocolate - I know it's a small thing but it was great. Real milk hot chocolate! Amazing. My friends and I had nothing but good things to say about this place, their very friendly staff, and the beautiful layout. My friends are both designers and so their approval is hard to come by. We will be back soon to try dinner and the bar!"," The food is delicious, the service is professional and attentive, and the space is beautiful. Real milk hot chocolate My friends and I had nothing but good things to say about this place, their very friendly staff, and the beautiful layout. My friends are both designers and so their approval is hard to come by. We will be back soon to try dinner and the bar!"
"**Out of a possible 5 stars, here's what we thought....Décor: 4 star                 Service: 3 starsBeverage List: 2 star           Food: 1 starsLocation: 3 star            Overall: 2 starsCost: $30 - $50  per personFor the complete review please go to: nycfoodreview.wordpress.…",
"I ate at Locale yesterday for my roommate's birthday dinner. I have walked past it several times and have always been tempted to eat there, but since dieting lately, I didn't think I could do it healthfully, and boy was I wrong. My friend Jen and I both had the portabello mushroom and roasted red pepper arugula salad with toasted goat cheese. I, however, also started with a soup because I hadn't had much else to eat throughout the day. The soup was pasta e fagioli. My roommate had the squid ink pasta. Jen and my roommate also both had sangria. For dessert, I had a poached pear (no ice cream, no puff pastry, no whipped cream), the birthday girl had what they called Bomba (like the Israeli snack in flavor profile but actually ice cream and chocolate), and Jen had the chocolate cake. I was really happy with the soup in terms of tomato flavor, but was disappointed in the broth to ingredient ratio. There was too much pasta (so I didn't eat it all). I did, however, like the garlic that had softened in the soup. As for the salad, I thought it was great. Really earthy tasting with the arugula and portabello combination. The bill was under $100 for 3 of us, which for a restaurant of this quality, in service and in food, is fairly reasonable. I'd definitely come back, especially for a nice occasion."," I have walked past it several times and have always been tempted to eat there, but since dieting lately, I didn't think I could do it healthfully, and boy was I wrong. Jen and my roommate also both had sangria I was really happy with the soup in terms of tomato flavor, but was disappointed in the broth to ingredient ratio. Really earthy tasting with the arugula and portabello combination. The bill was under $100 for 3 of us, which for a restaurant of this quality, in service and in food, is fairly reasonable. I'd definitely come back, especially for a nice occasion."
"Lived a few blocks away from here for a good few years and always overlooked it. Boy, was I missing out! Eggs Benedict are the absolute bombdotcom (does anyone even say that anymore?). Service definitely exceeds what I normally expect in Astoria which is a big surprise so please please keep up the good work guys! You're bringing a good name to hospitality in Astoria. New favorite brunch spot. Can't wait to try dinner.", Lived a few blocks away from here for a good few years and always overlooked it. Service definitely exceeds what I normally expect in Astoria which is a big surprise so please please keep up the good work guys New favorite brunch spot
"stopped in Locale on a Saturday at 9:30 and was able to sit down without a reservation.  They gave us a comfy table for two in the back elevated area that was very cozy.  There was a small party of about 12 next to us that had a few very loud guests but whatever they eventually left.   place is nice looking, exposed brick and iron feel with tin ceilings and antiquely wall coverings.  its not very big so has a nice ""locale"" vibe.  the waitress was very friendly and bubbly, she seems like she was auditioning for a broadway show but it was somewhat entertaining and she was nice.  we started with a couple of glasses of pinot noir that i didnt like at all. i switched to the petite syrah that was much better. they gave a nice basket of focaccia and olive oil.  for app we shared the artichoke ravioli in truffle cream.  fairly simple dish but very tasty.  generous portion also, more than enough to split for an app.  i had the veal scallopini, it was served with mushrooms kale and some dumplings in a red wine truffle sauce.  my date had a chicken special which was stuffed with mushroom and wrapped in bacon.  both were very good.   skipped dessert.  overall a very pleasant dinner.  one pasta, one veal, one chicken and 4 glasses of wine was $95 i dont know that there is much more on the menu i would run back for, i didnt really see any other entrees that i was interested in.  there was a duck special that i guess they ran out of i would have tried if they had it.   i dont eat fish so i would like to see more meat options in the entree section.  they do offer quite a few pastas that sound good.  so i wouldnt have any problem going back.  and maybe ill will try the brunch."," They gave us a comfy table for two in the back elevated area that was very cozy. There was a small party of about 12 next to us that had a few very loud guests but whatever they eventually left. place is nice looking, exposed brick and iron feel with tin ceilings and antiquely wall coverings. fairly simple dish but very tasty both were very good. overall a very pleasant dinner. one pasta, one veal, one chicken and 4 glasses of wine was $95 i dont know that there is much more on the menu i would run back for, i didnt really see any other entrees that i was interested in. there was a duck special that i guess they ran out of i would have tried if they had it. i dont eat fish so i would like to see more meat options in the entree section. they do offer quite a few pastas that sound good"
"Took my Mom here for dinner after a walk in Astoria Park. The exterior did initially draw us in, but the wait staff, host and food kept us. They offer pretty original food combinations and they were all delicious. we started with the trio bruschetta, we chose the hazelnut/honey, pineapple/chili and avocado- all really good. Mom had the fried gnocchi and I ordered the pasta with peas, prosciutto and zabaglione sauce. Really good! The serving sizes are smaller than the gluttonous sizes in most restaurant, but it is plenty and no waste of food. Great to sit outside, the street isn't too busy and the inside is also nice. Good to have lunch, brunch or dinner or to come for just a cheese plate and wine or coffee and desert. Highly recommended."," Took my Mom here for dinner after a walk in Astoria Park They offer pretty original food combinations and they were all delicious. The serving sizes are smaller than the gluttonous sizes in most restaurant, but it is plenty and no waste of food. Great to sit outside, the street isn't too busy and the inside is also nice."
"FRIGGIN' AWESOME!My boyfriend and I were excited to go out and try a new Italian restaurant that had just opened in Astoria, which will remain nameless.  While we were there the food looked amazing, but the communication between the staff was terrible, after a few mistakes and hearing the couple stand up and say, ""After 30-minutes of waiting and they didn't once tell us it's cash only"", we departed.As we left, we bumped into that same couple and they said that they were going to Locale a few blocks away since they were set on Italian.  After getting a good whiff of garlic and cheese, we realized that ours were as well so we headed on over to 34th Ave and we were SOOOOO HAPPY we did.We arrived around 8 on a Friday night and we didn't have to wait as we opted to sit inside (most of the outside tables were taken as people enjoyed the weather).  They had ""The Godfather"" playing on the white brick wall behind the bar and we started to pick through the menu.  We got a bottle of wine, a crostino, veal meatballs, rigatoni with pork cheek, and pork chop.The staff was extremely friendly and helpful with the menu.  Each plate kept getting better and better, but had we eaten the plates in reverse I would say the same.  They were all so delicious!  The burrata on the crostino was so rich and creamy.  The veal meatballs are indescribably tender and perfectly seasoned in a sweet traditional marinara.  The rigatoni had such a rich flavor between the jowl and the onions.  And the pork chop, my word!  It was perfectly cooked and on a bed of broccoli rabe and cannellini beans.  The flavors were amazing!  I wish I had a food critique's repertoire of food adjectives that I could use other than amazing because I don't know how else to describe it.The atmosphere was nice, relaxed, and unpretentious.  We ended up closing the restaurant portion down as we enjoyed our delicious Sirah and none of the staff bothered to rush us out, but let us enjoy our time there.HIGHLY RECOMMENDED and they are even starting a movie night on Tuesdays with half-priced bottles of wine.  We'll be going back this weekend to enjoy another feast with our friends visiting from out of town.Thanks Locale!"," enjoy FRIGGIN' AWESOME!My boyfriend and I were excited to go out and try a new Italian restaurant that had just opened in Astoria, which will remain nameless. While we were there the food looked amazing, but the communication between the staff was terrible, after a few mistakes and hearing the couple stand up and say, ""After 30-minutes of waiting and they didn't once tell us it's cash only"", we departed.As we left, we bumped into that same couple and they said that they were going to Locale a few blocks away since they were set on Italian. After getting a good whiff of garlic and cheese, we realized that ours were as well so we headed on over to 34th Ave and we were SOOOOO HAPPY we did.We arrived around 8 on a Friday night and we didn't have to wait as we opted to sit inside (most of the outside tables were taken as people enjoyed the weather). Each plate kept getting better and better, but had we eaten the plates in reverse I would say the same. They were all so delicious The burrata on the crostino was so rich and creamy. The veal meatballs are indescribably tender and perfectly seasoned in a sweet traditional marinara. The rigatoni had such a rich flavor between the jowl and the onions. It was perfectly cooked and on a bed of broccoli rabe and cannellini beans The flavors were amazing I wish I had a food critique's repertoire of food adjectives that I could use other than amazing because I don't know how else to describe it.The atmosphere was nice, relaxed, and unpretentious. We'll be going back this weekend to enjoy another feast with our friends visiting from out of town.Thanks Locale!"
"Vey nice décor and great staff. Our server Gabrielle was friendly, professional and helpful. She makes up for this place!Lentil soup was good but our main courses were average, too heavy on sauce and nothing spectacular about it. I had a crème brulee for dessert and again just average. I'll give it another try, maybe the chef was just not in a good mood that night."," Vey nice décor and great staff She makes up for this place!Lentil soup was good but our main courses were average, too heavy on sauce and nothing spectacular about it. I'll give it another try, maybe the chef was just not in a good mood that night."
"Pretenious and over-rated. Food was ok, decor was very charming, service was terrible. I found this place here on Yelp as it was rated highly for groups and for brunch. I was looking to host a surprist bridal shower for a close friend. I attempted to make a reservation 3 times before it was acutally completed. I asked if they had a pre-fix brunch menu available for group. They said yes, but they didn't know what it was and they would get back to me. They never got back to me.I had to call several times to get an answer about that. I was finally instructed by the manager that I should pick six items off the current menu, anything except the skirt steak and we would recieve unlimited mimosas, bloody marys, coffee, and tea for $40. I thought that was a little high so I asked if we could get 4 options with unlimited drinks for $35 - no, couldn't do it. Ok - fine. So I then chose my six items, to which the manager replied two of the six items were not available. Why say pick any six if you didn't mean it? Then I asked for savory vegatarian options, the manager replied with two meat filled choices - come on. Fast forward to the morning of - I called around 11 am letting them know that we would only have 10 instead of the intended 15 for our 1:30 reservation. The hostess who I spoke with said thank you for calling - no problem. 5 minutes later my phone rings with the manager asking me if I was cancelling the reservation. I said no I'm not cancelling, I'm letting you know that we will not be as many as originally thought. He told me that I couldn't do that in the future but this time he would let it slide. At no point was I informed that they needed 72 hours notice on adjusting the reservation. Seriously?! I'm freeing up space for you in advance and I get an attitude. I arrive around 1:15 and grab a seat at the bar because our space wasn't ready yet. No worries - I was early. So the table is ready at 1:30 and I begin setting up. We expect the bride to arrive around 2. So the other guests arrive and we order some tea and coffee. The bride ended up being delayed in the city so she didn't arrive until 2:30. I appreciate that it was later than I had said it would be. I didn't appreciate the manager and a waitress repeated pestering me about when would the rest of the party be arriving. The restuarant is busy but no one is waiting for a table at this point. Is it really that serious?The bride arrives - we surprise her - Yay! We all order within the next 5 minutes and get down to enjoying our unlimited beverages and the company. Our waitress is bringing our drinks and proceeds to spill 6 mimosas down the bride's back. After many apologies and a hair dryer in the bathroom, we continued to celebrate and ordered another round of drinks.35 minutes later - our drinks arrive and the waitress tells me that the unlimited portion of our event is over as per the manager. Ok - I'm really not unreasonable but come on - you spill multiple drinks down the back of the guest of honor, replace them 35 minutes later, and then you tell me we're done?! So I ask for the check.The manager brings the check and asks if we want anything else - more drinks? dessert? No thank you - I'll take my overpriced average brunch bill and go. Needless to say I will not be returning. This is not the place for group or a reasonable brunch"," enjoy Food was ok, decor was very charming, service was terrible. I attempted to make a reservation 3 times before it was acutally completed They said yes, but they didn't know what it was and they would get back to me. I was finally instructed by the manager that I should pick six items off the current menu, anything except the skirt steak and we would recieve unlimited mimosas, bloody marys, coffee, and tea for $40. I thought that was a little high so I asked if we could get 4 options with unlimited drinks for $35 - no, couldn't do it. So I then chose my six items, to which the manager replied two of the six items were not available. Then I asked for savory vegatarian options, the manager replied with two meat filled choices - come on. Fast forward to the morning of - I called around 11 am letting them know that we would only have 10 instead of the intended 15 for our 1:30 reservation. 5 minutes later my phone rings with the manager asking me if I was cancelling the reservation I said no I'm not cancelling, I'm letting you know that we will not be as many as originally thought. He told me that I couldn't do that in the future but this time he would let it slide. At no point was I informed that they needed 72 hours notice on adjusting the reservation So the table is ready at 1:30 and I begin setting up. I appreciate that it was later than I had said it would be. The restuarant is busy but no one is waiting for a table at this point. We all order within the next 5 minutes and get down to enjoying our unlimited beverages and the company Ok - I'm really not unreasonable but come on - you spill multiple drinks down the back of the guest of honor, replace them 35 minutes later, and then you tell me we're done?! No thank you - I'll take my overpriced average brunch bill and go. Needless to say I will not be returning."
"Food was OK but a few things really let the dining experience down.1. White wine was warm - they said they had problems with their refrigerator but still served it to us. For this the service gets a B.2. They brought the main meals when we were clearly still on our appetizers. They looked embarrassed when we glanced up wondering what they were doing there but they proceed sheepishly anyway. For this the service gets a B-3. Four of us at a table but they insist on leaning over me, placing their armpit in my face as they serve the person next to me. Would it kill them to make the extra three steps? For this the service gets a CAll in all - amateur night in great decor. So many possibilities, so much promise, so little effort... Overall - rating? C"," For this the service gets a B.2. So many possibilities, so much promise, so little effort..."
"What struck me first was the design of the façade and interior: decidedly not Queens (or at least not the Queens I am used to). Locale has the ambiance of a cafe in Paris and adequate food. There is nothing on the menu that has ever disappoint my myself or my guests, but I usually stick to the eggs benedict. A safe choice. The coffee is strong and the servers are good. What more can you ask for?"," There is nothing on the menu that has ever disappoint my myself or my guests, but I usually stick to the eggs benedict. A safe choice The coffee is strong and the servers are good. What more can you ask for"
"Me and 7 friends made a reservation at Locale when we learned that they recently changed management, and it was a great a great choice. You can always tell whether an Italian restaurant is any good by the quality of the staples - calamari, pasta, wine, etc. In all categories, Locale met par, and they really surprised with their cocktails and a few dishes, including the duck, the short ribs, the shaved brussel sprout salad, and the tortellini with braised beef. I wouldn't hesitate to recommend this place."," You can always tell whether an Italian restaurant is any good by the quality of the staples - calamari, pasta, wine, etc. I wouldn't hesitate to recommend this place."
"My fiancé and I just had our engagement party brunch here and it was AMAZING!!! The staff was awesome and the food was great!  I would recommend this place to anyone.  We had 56 guests and the owners were so accommodating and willing to make the day very special.  All of our guests were complimenting the outstanding service and food.  Our glasses were getting filled constantly and the food came out nice and hot for everyone!  They personalized the chalkboard for us, played a picture slideshow of us, and provided really cute photo props for each table for our guests to enjoy!  We forgot to get batteries for one of our marquee letters for decoration and one of the staff went out to get some!  Also one of our guests were picking at some left over calamari (because it was so good!!) and the owner came over and asked if she wanted more gnocchi (thinking she didn't get enough on her plate...which she did...she just really liked the calamari and the gnocchi is great too..my personal favorite).  They were so great and professional.  I am so glad we chose gastroteca.  Our day couldn't have been better!! THANK YOUUU!!!"," enjoy My fiancé and I just had our engagement party brunch here and it was AMAZING The staff was awesome and the food was great! I would recommend this place to anyone. Our glasses were getting filled constantly and the food came out nice and hot for everyone! They personalized the chalkboard for us, played a picture slideshow of us, and provided really cute photo props for each table for our guests to enjoy! Also one of our guests were picking at some left over calamari (because it was so good!!) and the owner came over and asked if she wanted more gnocchi (thinking she didn't get enough on her plate...which she did...she just really liked the calamari and the gnocchi is great too..my personal favorite). They were so great and professional. I am so glad we chose gastroteca. THANK YOUUU  AMAZING"
"Minus two stars for service. Minus one for food. The biggest plus here is that I got 10% off my bill by checking in on Yelp. Luckily I actually did get my bill after waiting 20+ minutes after I finished dinner. I acknowledge the restaurant did get busy, but if a server can't come to the table at least once every 15min, even just to refill water, I don't feel appreciated.I wanted to like this place more because it is very local (hah!), but I just couldn't. I am not a picky eater, at all, but the spaetzle and sauce with my pork scaloppini were just yuck. I've had spaetzle before, and it's been better. That said, my boyfriend did love his filet mignon and couldn't even finish it. I would come here for drinks because the bar looked pretty nice."," Minus two stars for service Minus one for food I acknowledge the restaurant did get busy, but if a server can't come to the table at least once every 15min, even just to refill water, I don't feel appreciated.I wanted to like this place more because it is very local (hah! I am not a picky eater, at all, but the spaetzle and sauce with my pork scaloppini were just yuck. I would come here for drinks because the bar looked pretty nice."
"Brunch here is excellent.  We had a very attentive waitress who was not too chatty (which I liked) and sat inside but next to a huge open wall onto the street - so virtually outside.  The decor is beautiful.  I was worried because the pictures looked so dark, but the whole place opens up for brunch and is full of sunlight.We had cheddar polenta, homefries (they use some rosemary rub which is unexpected but tasty), spinach goat cheese omelet, and I got a chocolate latte which was pretty delicious.The food was good, but the environment was even better.  A really nice place for brunch and awesome that you can make reservations online!"," We had a very attentive waitress who was not too chatty (which I liked) and sat inside but next to a huge open wall onto the street - so virtually outside. The decor is beautiful. I was worried because the pictures looked so dark, but the whole place opens up for brunch and is full of sunlight.We had cheddar polenta, homefries (they use some rosemary rub which is unexpected but tasty), spinach goat cheese omelet, and I got a chocolate latte which was pretty delicious.The food was good, but the environment was even better. A really nice place for brunch and awesome that you can make reservations online!"
"Living south of Broadway, I love having brunch at Locale. The menu is great (the drink menu as well), the food was very good, and the attention from both the staff and the owner was amazing.The corned beef hash eggs benedict was smashing, as was my drink, a red wine sangria based with Montepulciano (my favorite wine, it just so happens, for its fruity hints from the South of Italy). They have a 1,000 different teas, maybe literally. With so many choices, of course we spazzed and got decaf chamomile.We'd been pestered by a bee, attracted to our sweet sangria. Rather than bringing out the toxic raid bee killer extreme 2000, the owner was kind and wise enough to place a bowl of honey out which apparently did the trick.I've eaten here many times for brunch and dinner and I love it here. It's a local establishment (no puns on the name), the food is good and everyone who I've encountered who works here has been extremely friendly.The managers and owner seems extremely receptive to feedback and will go out of their way to make for an excellent dining experience.By the looks of other reviews, I'm not the only one who left happy and on a full stomach....maybe a little tipsy though.****4 stars for great brunch, ever changing dinner menu, beautiful interior decor, outdoor seating in the summer and friendly waiters and owner! Viva la Locale!"," The menu is great (the drink menu as well), the food was very good, and the attention from both the staff and the owner was amazing.The corned beef hash eggs benedict was smashing, as was my drink, a red wine sangria based with Montepulciano (my favorite wine, it just so happens, for its fruity hints from the South of Italy). With so many choices, of course we spazzed and got decaf chamomile.We'd been pestered by a bee, attracted to our sweet sangria. Rather than bringing out the toxic raid bee killer extreme 2000, the owner was kind and wise enough to place a bowl of honey out which apparently did the trick.I've eaten here many times for brunch and dinner and I love it here. It's a local establishment (no puns on the name), the food is good and everyone who I've encountered who works here has been extremely friendly.The managers and owner seems extremely receptive to feedback and will go out of their way to make for an excellent dining experience.By the looks of other reviews, I'm not the only one who left happy and on a full stomach....maybe a little tipsy though. Viva la Locale"
"Charm ,ambiance and quality in Queens! Plus no obnoxious scene! First off I am not a brunch person for the most part. There are many restaurants that just over charge because it is ""brunch"". But I had to get my massage and with my condition sitting is the most painful thing for me. After the distress my body was in at Taverna Kyklades (though the food was awesome) we decided I should not go out to eat  unless the restaurant has comfy chairs.So my husband was challenged to find some place that is clean and comfy and warm for me. For some reason I just never saw this or noticed at on Yelp though several Yelp friends have gone. As several other reviewers said I wish I had found it sooner.The reason I needed to get brunch and get my massage so early is (or at least early for me) is our money pit apartment still needed additional work. We had painters come that insisted that they come early. So I got up early for the massage (they came in early for me) they do not really have set hours they will be there if they have customers, so we needed to eat and do errands to stay out until they were finished in our apartment.I thought of Sugar Freak but really the brunch is all high fat and high sugar. There are no healthy choices at all. So my husband found Locale and I am so glad he did. He choose it based on the pictures on their web site of their comfy seating.If you are outside of New York reading this you might not realize that many if not most New York restaurants lack decor space and ambaience. It is stressful for me right now in my condition to deal with and isn't pleasant to go to most restaurants. In NY you pay for comfort. But at Locale the prices are reasonable.We went for brunch but I will go back and have lunch and dinner. The menu is limited but the food is so clean and appropriate for the space. There are so many restaurants that look clean but if you peak into the kitchen there is chaos and dirt. Not here it is really clean all around. I had a Salmon Omelet which was okay it didn't thrill me so I switched with my hubby who had eggs and cheddar cheese polenta. We split the yogurt parfait. He is not really a yogurt person. He said though it was better than any yogurt he's  ever had! It was as good as it looks in the pictures, better even! He loved the banana pudding at Sugar Freak and said that is more his speed. But that is all he liked there. He liked everything about Locale. I was surprised to see that it is not a scene.Very low Key vibe.Others mentioned it is a nice date spot. Which brings me to something we saw that was so adorable. We saw an elderly couple that looked to be in their 80's. They were holding hands on a date. They were so cute! It is a great date spot or place to talk with friends. There were specials not on the menu on line as well as regulars ordering past specials not on the menu and the chef accommodated them.I am really charmed and look forward to going back soon!"," Plus no obnoxious scene But I had to get my massage and with my condition sitting is the most painful thing for me. After the distress my body was in at Taverna Kyklades (though the food was awesome) we decided I should not go out to eat  unless the restaurant has comfy chairs.So my husband was challenged to find some place that is clean and comfy and warm for me. As several other reviewers said I wish I had found it sooner.The reason I needed to get brunch and get my massage so early is (or at least early for me) is our money pit apartment still needed additional work. So I got up early for the massage (they came in early for me) they do not really have set hours they will be there if they have customers, so we needed to eat and do errands to stay out until they were finished in our apartment.I thought of Sugar Freak but really the brunch is all high fat and high sugar. There are no healthy choices at all So my husband found Locale and I am so glad he did. He choose it based on the pictures on their web site of their comfy seating.If you are outside of New York reading this you might not realize that many if not most New York restaurants lack decor space and ambaience. It is stressful for me right now in my condition to deal with and isn't pleasant to go to most restaurants. In NY you pay for comfort But at Locale the prices are reasonable.We went for brunch but I will go back and have lunch and dinner. The menu is limited but the food is so clean and appropriate for the space. There are so many restaurants that look clean but if you peak into the kitchen there is chaos and dirt. Not here it is really clean all around. We split the yogurt parfait I was surprised to see that it is not a scene.Very low Key vibe.Others mentioned it is a nice date spot. Which brings me to something we saw that was so adorable. They were so cute! There were specials not on the menu on line as well as regulars ordering past specials not on the menu and the chef accommodated them.I am really charmed and look forward to going back soon!"
"Ehhh I really want to like Locale. I really do. It's the place my friend treated me to on my birthday. It's the place I chose to have my first date with a special lady and I enjoyed tons of good companys here. The place is hip. There's an elevated corner lounge that's great for large, private parties. The full bar stretches itself across the room. It felt like a bar with an extended dining area and outside seating. The waitresses were endearing. The bigger the expectations though, the more harsh I seem to be on reviews. The food wasn't very tastey. I had the Locale burger, medium rare. It came too rare for my taste and it was one of those really mushy burgers. I prefer my meat to have at least some bite to it. The drinks were alright. It doesn't justify the city-like costs though.You can find better options one more subway stop to broadway or better yet, two more to my hood at 30th ave.I am willing to give it another go and try something different on the menu - but am I just in denial?"," enjoy I really do It came too rare for my taste and it was one of those really mushy burgers. It doesn't justify the city-like costs though.You can find better options one more subway stop to broadway or better yet, two more to my hood at 30th ave.I am willing to give it another go and try something different on the menu - but am I just in denial?"
"A little on the expensive side. My girlfriend and I ordered 2 glasses of wine, 2 entrees, 2 deserts, 1 appetizer and an aperitif and it all cost less than $125.  So judge the prices by that.The service was incredible.  The waiter we had was an extremely knowledgeable in both the menu items and the bar items.  He was also extremely charismatic and persuasive, often saying, why not? when we were offered more drinks and desert. The man must also have the patience of a saint.  As we were leaving some b**ch, who was apparently allergic to everything under the sun was complaining that the restaurant was running out of some of its evening specials and practically everything offered on the menu she was allergic to. Well that's what happens when you go to dinner at 11 pm on a Saturday night, what a horse's a**. The food was excellent.  I ordered the steak special, served with fried onions and mashed potatoes.  The only thing I was disappointed with was that the steak was cut  up into slices, I was hoping for a slab of steak.  The cherry cobbler was amazing! I highly recommend it."," A little on the expensive side So judge the prices by that.The service was incredible. when we were offered more drinks and desert The man must also have the patience of a saint As we were leaving some b**ch, who was apparently allergic to everything under the sun was complaining that the restaurant was running out of some of its evening specials and practically everything offered on the menu she was allergic to. The cherry cobbler was amazing I highly recommend it"
